Time_ms,Absolute_Displacement_nm
0.000,-997204479.587
1.000,-997204558.711
2.000,-997204558.711
3.000,-997204637.835
4.000,-997204637.835
5.000,-997204637.835
6.000,-997204558.711
7.000,-997204558.711
8.000,-997204479.587
9.000,-997204558.711
10.000,-997204558.711
11.000,-997204637.835
12.000,-997204637.835
13.000,-997204637.835
14.000,-997204637.835
15.000,-997204558.711
16.000,-997204558.711
17.000,-997204558.711
18.000,-997204558.711
19.000,-997204637.835
20.000,-997204637.835
21.000,-997204637.835
22.000,-997204637.835
23.000,-997204558.711
24.000,-997204558.711
25.000,-997204558.711
26.000,-997204558.711
27.000,-997204558.711
28.000,-997204637.835
29.000,-997204637.835
30.000,-997204637.835
31.000,-997204558.711
32.000,-997204558.711
33.000,-997204558.711
34.000,-997204558.711
35.000,-997204637.835
36.000,-997204637.835
37.000,-997204637.835
38.000,-997204637.835
39.000,-997204558.711
40.000,-997204558.711
41.000,-997204558.711
42.000,-997204637.835
43.000,-997204637.835
44.000,-997204637.835
45.000,-997204637.835
46.000,-997204637.835
47.000,-997204637.835
48.000,-997204558.711
49.000,-997204558.711
50.000,-997204558.711
51.000,-997204637.835
52.000,-997204637.835
53.000,-997204716.959
54.000,-997204716.959
55.000,-997204637.835
56.000,-997204637.835
57.000,-997204558.711
58.000,-997204558.711
59.000,-997204637.835
60.000,-997204637.835
61.000,-997204716.959
62.000,-997204716.959
63.000,-997204716.959
64.000,-997204637.835
65.000,-997204558.711
66.000,-997204558.711
67.000,-997204558.711
68.000,-997204637.835
69.000,-997204637.835
70.000,-997204716.959
71.000,-997204716.959
72.000,-997204637.835
73.000,-997204637.835
74.000,-997204558.711
75.000,-997204558.711
76.000,-997204637.835
77.000,-997204637.835
78.000,-997204716.959
79.000,-997204716.959
80.000,-997204716.959
81.000,-997204637.835
82.000,-997204637.835
83.000,-997204637.835
84.000,-997204637.835
85.000,-997204637.835
86.000,-997204716.959
87.000,-997204716.959
88.000,-997204716.959
89.000,-997204637.835
90.000,-997204637.835
91.000,-997204637.835
92.000,-997204637.835
93.000,-997204716.959
94.000,-997204716.959
95.000,-997204716.959
96.000,-997204716.959
97.000,-997204637.835
98.000,-997204637.835
99.000,-997204637.835
100.000,-997204637.835
101.000,-997204716.959
102.000,-997204716.959
103.000,-997204716.959
104.000,-997204716.959
105.000,-997204716.959
106.000,-997204637.835
107.000,-997204637.835
108.000,-997204637.835
109.000,-997204637.835
110.000,-997204716.959
111.000,-997204716.959
112.000,-997204796.083
113.000,-997204716.959
114.000,-997204716.959
115.000,-997204637.835
116.000,-997204637.835
117.000,-997204637.835
118.000,-997204716.959
119.000,-997204716.959
120.000,-997204796.083
121.000,-997204796.083
122.000,-997204716.959
123.000,-997204637.835
124.000,-997204637.835
125.000,-997204637.835
126.000,-997204637.835
127.000,-997204716.959
128.000,-997204716.959
129.000,-997204796.083
130.000,-997204716.959
131.000,-997204716.959
132.000,-997204637.835
133.000,-997204637.835
134.000,-997204637.835
135.000,-997204716.959
136.000,-997204716.959
137.000,-997204796.083
138.000,-997204716.959
139.000,-997204716.959
140.000,-997204716.959
141.000,-997204637.835
142.000,-997204716.959
143.000,-997204716.959
144.000,-997204716.959
145.000,-997204796.083
146.000,-997204716.959
147.000,-997204716.959
148.000,-997204716.959
149.000,-997204716.959
150.000,-997204716.959
151.000,-997204716.959
152.000,-997204716.959
153.000,-997204796.083
154.000,-997204796.083
155.000,-997204716.959
156.000,-997204716.959
157.000,-997204716.959
158.000,-997204716.959
159.000,-997204716.959
160.000,-997204796.083
161.000,-997204796.083
162.000,-997204796.083
163.000,-997204796.083
164.000,-997204716.959
165.000,-997204716.959
166.000,-997204637.835
167.000,-997204716.959
168.000,-997204716.959
169.000,-997204796.083
170.000,-997204796.083
171.000,-997204796.083
172.000,-997204716.959
173.000,-997204716.959
174.000,-997204637.835
175.000,-997204716.959
176.000,-997204716.959
177.000,-997204796.083
178.000,-997204796.083
