Time_ms,Absolute_Displacement_nm
0.000,14394524391.058
1.000,14394524391.058
2.000,14394524391.058
3.000,14394524391.058
4.000,14394524391.058
5.000,14394524391.058
6.000,14394524391.058
7.000,14394524391.058
8.000,14394524391.058
9.000,14394524391.058
10.000,14394524391.058
11.000,14394524391.058
12.000,14394524391.058
13.000,14394524391.058
14.000,14394524391.058
15.000,14394524391.058
16.000,14394524391.058
17.000,14394524391.058
18.000,14394524391.058
19.000,14394524391.058
20.000,14394524391.058
21.000,14394524391.058
22.000,14394524391.058
23.000,14394524391.058
24.000,14394524391.058
25.000,14394524391.058
26.000,14394524391.058
27.000,14394524391.058
28.000,14394524391.058
29.000,14394524391.058
30.000,14394524391.058
31.000,14394524391.058
32.000,14394524391.058
33.000,14394524391.058
34.000,14394524391.058
35.000,14394524391.058
36.000,14394524391.058
37.000,14394524391.058
38.000,14394524391.058
39.000,14394524391.058
40.000,14394524391.058
41.000,14394524391.058
42.000,14394524391.058
43.000,14394524391.058
44.000,14394524391.058
45.000,14394524391.058
46.000,14394524391.058
47.000,14394524391.058
48.000,14394524391.058
49.000,14394524391.058
50.000,14394524391.058
51.000,14394524391.058
52.000,14394524391.058
53.000,14394524391.058
54.000,14394524391.058
55.000,14394524391.058
56.000,14394524391.058
57.000,14394524391.058
58.000,14394524391.058
59.000,14394524391.058
60.000,14394524391.058
61.000,14394524391.058
62.000,14394524391.058
63.000,14394524391.058
64.000,14394524391.058
65.000,14394524391.058
66.000,14394524391.058
67.000,14394524391.058
68.000,14394524391.058
69.000,14394524391.058
70.000,14394524391.058
71.000,14394524391.058
72.000,14394524391.058
73.000,14394524391.058
74.000,14394524391.058
75.000,14394524391.058
76.000,14394524391.058
77.000,14394524391.058
78.000,14394524391.058
79.000,14394524391.058
80.000,14394524391.058
81.000,14394524391.058
82.000,14394524391.058
83.000,14394524391.058
84.000,14394524391.058
85.000,14394524391.058
86.000,14394524391.058
87.000,14394524391.058
88.000,14394524391.058
89.000,14394524391.058
90.000,14394524391.058
91.000,14394524391.058
92.000,14394524391.058
93.000,14394524391.058
94.000,14394524391.058
95.000,14394524391.058
96.000,14394524391.058
97.000,14394524391.058
98.000,14394524391.058
99.000,14394524391.058
100.000,14394524391.058
101.000,14394524391.058
102.000,14394524391.058
103.000,14394524391.058
104.000,14394524391.058
105.000,14394524391.058
106.000,14394524391.058
107.000,14394524391.058
108.000,14394524391.058
109.000,14394524391.058
110.000,14394524391.058
111.000,14394524391.058
112.000,14394524391.058
113.000,14394524391.058
114.000,14394524391.058
115.000,14394524391.058
116.000,14394524391.058
117.000,14394524391.058
118.000,14394524391.058
119.000,14394524391.058
120.000,14394524391.058
121.000,14394524391.058
122.000,14394524391.058
123.000,14394524391.058
124.000,14394524391.058
125.000,14394524391.058
126.000,14394524391.058
127.000,14394524391.058
128.000,14394524391.058
129.000,14394524391.058
130.000,14394524391.058
131.000,14394524391.058
132.000,14394524391.058
133.000,14394524391.058
134.000,14394524391.058
135.000,14394524391.058
136.000,14394524391.058
137.000,14394524391.058
138.000,14394524391.058
139.000,14394524391.058
140.000,14394524391.058
141.000,14394524391.058
142.000,14394524391.058
143.000,14394524391.058
144.000,14394524391.058
145.000,14394524391.058
146.000,14394524391.058
147.000,14394524391.058
148.000,14394524391.058
149.000,14394524391.058
150.000,14394524391.058
151.000,14394524391.058
152.000,14394524391.058
153.000,14394524391.058
154.000,14394524391.058
155.000,14394524391.058
156.000,14394524391.058
157.000,14394524391.058
158.000,14394524391.058
159.000,14394524391.058
160.000,14394524391.058
161.000,14394524391.058
162.000,14394524391.058
163.000,14394524391.058
164.000,14394524391.058
165.000,14394524391.058
166.000,14394524391.058
167.000,14394524391.058
168.000,14394524391.058
169.000,14394524391.058
170.000,14394524391.058
171.000,14394524391.058
172.000,14394524391.058
173.000,14394524391.058
174.000,14394524391.058
175.000,14394524391.058
176.000,14394524391.058
177.000,14394524391.058
178.000,14394524391.058
179.000,14394524391.058
180.000,14394524391.058
181.000,14394524391.058
182.000,14394524391.058
183.000,14394524391.058
184.000,14394524391.058
185.000,14394524391.058
186.000,14394524391.058
187.000,14394524391.058
188.000,14394524391.058
189.000,14394524391.058
190.000,14394524391.058
191.000,14394524391.058
192.000,14394524391.058
193.000,14394524391.058
194.000,14394524391.058
195.000,14394524391.058
196.000,14394524391.058
197.000,14394524391.058
198.000,14394524391.058
199.000,14394524391.058
200.000,14394524391.058
201.000,14394524391.058
202.000,14394524391.058
203.000,14394524391.058
204.000,14394524391.058
205.000,14394524391.058
206.000,14394524391.058
207.000,14394524391.058
208.000,14394524391.058
209.000,14394524391.058
210.000,14394524391.058
211.000,14394524391.058
212.000,14394524391.058
213.000,14394524391.058
214.000,14394524391.058
215.000,14394524391.058
216.000,14394524391.058
217.000,14394524391.058
218.000,14394524391.058
219.000,14394524391.058
220.000,14394524391.058
221.000,14394524391.058
222.000,14394524391.058
223.000,14394524391.058
224.000,14394524391.058
225.000,14394524391.058
226.000,14394524391.058
227.000,14394524391.058
228.000,14394524391.058
229.000,14394524391.058
230.000,14394524391.058
231.000,14394524391.058
232.000,14394524391.058
233.000,14394524391.058
234.000,14394524391.058
235.000,14394524391.058
236.000,14394524391.058
237.000,14394524391.058
238.000,14394524391.058
239.000,14394524391.058
240.000,14394524391.058
241.000,14394524391.058
242.000,14394524391.058
243.000,14394524391.058
244.000,14394524391.058
245.000,14394524391.058
246.000,14394524391.058
247.000,14394524391.058
248.000,14394524391.058
249.000,14394524391.058
250.000,14394524391.058
251.000,14394524391.058
252.000,14394524391.058
253.000,14394524391.058
254.000,14394524391.058
255.000,14394524391.058
256.000,14394524391.058
257.000,14394524391.058
258.000,14394524391.058
259.000,14394524391.058
260.000,14394524391.058
261.000,14394524391.058
262.000,14394524391.058
263.000,14394524391.058
264.000,14394524391.058
265.000,14394524391.058
266.000,14394524391.058
267.000,14394524391.058
268.000,14394524391.058
269.000,14394524391.058
270.000,14394524391.058
271.000,14394524391.058
272.000,14394524391.058
273.000,14394524391.058
274.000,14394524391.058
275.000,14394524391.058
276.000,14394524391.058
277.000,14394524391.058
278.000,14394524391.058
279.000,14394524391.058
280.000,14394524391.058
281.000,14394524391.058
282.000,14394524391.058
283.000,14394524391.058
284.000,14394524391.058
285.000,14394524391.058
286.000,14394524391.058
287.000,14394524391.058
288.000,14394524391.058
289.000,14394524391.058
290.000,14394524391.058
291.000,14394524391.058
292.000,14394524391.058
293.000,14394524391.058
294.000,14394524391.058
295.000,14394524391.058
296.000,14394524391.058
297.000,14394524391.058
298.000,14394524391.058
299.000,14394524391.058
300.000,14394524391.058
301.000,14394524391.058
302.000,14394524391.058
303.000,14394524391.058
304.000,14394524391.058
305.000,14394524391.058
306.000,14394524391.058
307.000,14394524391.058
308.000,14394524391.058
309.000,14394524391.058
310.000,14394524391.058
311.000,14394524391.058
312.000,14394524391.058
313.000,14394524391.058
314.000,14394524391.058
315.000,14394524391.058
316.000,14394524391.058
317.000,14394524391.058
318.000,14394524391.058
319.000,14394524391.058
320.000,14394524391.058
321.000,14394524391.058
322.000,14394524391.058
323.000,14394524391.058
324.000,14394524391.058
325.000,14394524391.058
326.000,14394524391.058
327.000,14394524391.058
328.000,14394524391.058
329.000,14394524391.058
330.000,14394524391.058
331.000,14394524391.058
332.000,14394524391.058
333.000,14394524391.058
334.000,14394524391.058
335.000,14394524391.058
336.000,14394524391.058
337.000,14394524391.058
338.000,14394524391.058
339.000,14394524391.058
340.000,14394524391.058
341.000,14394524391.058
342.000,14394524391.058
343.000,14394524391.058
344.000,14394524391.058
345.000,14394524391.058
346.000,14394524391.058
347.000,14394524391.058
348.000,14394524391.058
349.000,14394524391.058
350.000,14394524391.058
351.000,14394524391.058
352.000,14394524391.058
353.000,14394524391.058
354.000,14394524391.058
355.000,14394524391.058
356.000,14394524391.058
357.000,14394524391.058
358.000,14394524391.058
359.000,14394524391.058
360.000,14394524391.058
361.000,14394524391.058
362.000,14394524391.058
363.000,14394524391.058
364.000,14394524391.058
365.000,14394524391.058
366.000,14394524391.058
367.000,14394524391.058
368.000,14394524391.058
369.000,14394524391.058
370.000,14394524391.058
371.000,14394524391.058
372.000,14394524391.058
373.000,14394524391.058
374.000,14394524391.058
375.000,14394524391.058
376.000,14394524391.058
377.000,14394524391.058
378.000,14394524391.058
379.000,14394524391.058
380.000,14394524391.058
381.000,14394524391.058
382.000,14394524391.058
383.000,14394524391.058
384.000,14394524391.058
385.000,14394524391.058
386.000,14394524391.058
387.000,14394524391.058
388.000,14394524391.058
389.000,14394524391.058
390.000,14394524391.058
391.000,14394524391.058
392.000,14394524391.058
393.000,14394524391.058
394.000,14394524391.058
395.000,14394524391.058
396.000,14394524391.058
397.000,14394524391.058
398.000,14394524391.058
399.000,14394524391.058
400.000,14394524391.058
401.000,14394524391.058
402.000,14394524391.058
403.000,14394524391.058
404.000,14394524391.058
405.000,14394524391.058
406.000,14394524391.058
407.000,14394524391.058
408.000,14394524391.058
409.000,14394524391.058
410.000,14394524391.058
411.000,14394524391.058
412.000,14394524391.058
413.000,14394524391.058
414.000,14394524391.058
415.000,14394524391.058
416.000,14394524391.058
417.000,14394524391.058
418.000,14394524391.058
419.000,14394524391.058
420.000,14394524391.058
421.000,14394524391.058
422.000,14394524391.058
423.000,14394524391.058
424.000,14394524391.058
425.000,14394524391.058
426.000,14394524391.058
427.000,14394524391.058
428.000,14394524391.058
429.000,14394524391.058
430.000,14394524391.058
431.000,14394524391.058
432.000,14394524391.058
433.000,14394524391.058
434.000,14394524391.058
435.000,14394524391.058
436.000,14394524391.058
437.000,14394524391.058
438.000,14394524391.058
439.000,14394524391.058
440.000,14394524391.058
441.000,14394524391.058
442.000,14394524391.058
443.000,14394524391.058
444.000,14394524391.058
445.000,14394524391.058
446.000,14394524391.058
447.000,14394524391.058
448.000,14394524391.058
449.000,14394524391.058
450.000,14394524391.058
451.000,14394524391.058
452.000,14394524391.058
453.000,14394524391.058
454.000,14394524391.058
455.000,14394524391.058
456.000,14394524391.058
457.000,14394524391.058
458.000,14394524391.058
459.000,14394524391.058
460.000,14394524391.058
461.000,14394524391.058
462.000,14394524391.058
463.000,14394524391.058
464.000,14394524391.058
465.000,14394524391.058
466.000,14394524391.058
467.000,14394524391.058
468.000,14394524391.058
469.000,14394524391.058
470.000,14394524391.058
471.000,14394524391.058
472.000,14394524391.058
473.000,14394524391.058
474.000,14394524391.058
475.000,14394524391.058
476.000,14394524391.058
477.000,14394524391.058
478.000,14394524391.058
479.000,14394524391.058
480.000,14394524391.058
481.000,14394524391.058
482.000,14394524391.058
483.000,14394524391.058
484.000,14394524391.058
485.000,14394524391.058
486.000,14394524391.058
487.000,14394524391.058
488.000,14394524391.058
489.000,14394524391.058
490.000,14394524391.058
491.000,14394524391.058
492.000,14394524391.058
493.000,14394524391.058
494.000,14394524391.058
495.000,14394524391.058
496.000,14394524391.058
497.000,14394524391.058
498.000,14394524391.058
499.000,14394524391.058
500.000,14394524391.058
501.000,14394524391.058
502.000,14394524391.058
503.000,14394524391.058
504.000,14394524391.058
505.000,14394524391.058
506.000,14394524391.058
507.000,14394524391.058
508.000,14394524391.058
509.000,14394524391.058
510.000,14394524391.058
511.000,14394524391.058
512.000,14394524391.058
513.000,14394524391.058
514.000,14394524391.058
515.000,14394524391.058
516.000,14394524391.058
517.000,14394524391.058
518.000,14394524391.058
519.000,14394524391.058
520.000,14394524391.058
521.000,14394524391.058
522.000,14394524391.058
523.000,14394524391.058
524.000,14394524391.058
525.000,14394524391.058
526.000,14394524391.058
527.000,14394524391.058
528.000,14394524391.058
529.000,14394524391.058
530.000,14394524391.058
531.000,14394524391.058
532.000,14394524391.058
533.000,14394524391.058
534.000,14394524391.058
535.000,14394524391.058
536.000,14394524391.058
537.000,14394524391.058
538.000,14394524391.058
539.000,14394524391.058
540.000,14394524391.058
541.000,14394524391.058
542.000,14394524391.058
543.000,14394524391.058
544.000,14394524391.058
545.000,14394524391.058
546.000,14394524391.058
547.000,14394524391.058
548.000,14394524391.058
549.000,14394524391.058
550.000,14394524391.058
551.000,14394524391.058
552.000,14394524391.058
553.000,14394524391.058
554.000,14394524391.058
555.000,14394524391.058
556.000,14394524391.058
557.000,14394524391.058
558.000,14394524391.058
559.000,14394524391.058
560.000,14394524391.058
561.000,14394524391.058
562.000,14394524391.058
563.000,14394524391.058
564.000,14394524391.058
565.000,14394524391.058
566.000,14394524391.058
567.000,14394524391.058
568.000,14394524391.058
569.000,14394524391.058
570.000,14394524391.058
571.000,14394524391.058
572.000,14394524391.058
573.000,14394524391.058
574.000,14394524391.058
575.000,14394524391.058
576.000,14394524391.058
577.000,14394524391.058
578.000,14394524391.058
579.000,14394524391.058
580.000,14394524391.058
581.000,14394524391.058
582.000,14394524391.058
583.000,14394524391.058
584.000,14394524391.058
585.000,14394524391.058
586.000,14394524391.058
587.000,14394524391.058
588.000,14394524391.058
589.000,14394524391.058
590.000,14394524391.058
591.000,14394524391.058
592.000,14394524391.058
593.000,14394524391.058
594.000,14394524391.058
595.000,14394524391.058
596.000,14394524391.058
597.000,14394524391.058
598.000,14394524391.058
599.000,14394524391.058
600.000,14394524391.058
601.000,14394524391.058
602.000,14394524391.058
603.000,14394524391.058
604.000,14394524391.058
605.000,14394524391.058
606.000,14394524391.058
607.000,14394524391.058
608.000,14394524391.058
609.000,14394524391.058
610.000,14394524391.058
611.000,14394524391.058
612.000,14394524391.058
613.000,14394524391.058
614.000,14394524391.058
615.000,14394524391.058
616.000,14394524391.058
617.000,14394524391.058
618.000,14394524391.058
619.000,14394524391.058
620.000,14394524391.058
621.000,14394524391.058
622.000,14394524391.058
623.000,14394524391.058
624.000,14394524391.058
625.000,14394524391.058
626.000,14394524391.058
627.000,14394524391.058
628.000,14394524391.058
629.000,14394524391.058
630.000,14394524391.058
631.000,14394524391.058
632.000,14394524391.058
633.000,14394524391.058
634.000,14394524391.058
635.000,14394524391.058
636.000,14394524391.058
637.000,14394524391.058
638.000,14394524391.058
639.000,14394524391.058
640.000,14394524391.058
641.000,14394524391.058
642.000,14394524391.058
643.000,14394524391.058
644.000,14394524391.058
645.000,14394524391.058
646.000,14394524391.058
647.000,14394524391.058
648.000,14394524391.058
649.000,14394524391.058
650.000,14394524391.058
651.000,14394524391.058
652.000,14394524391.058
653.000,14394524391.058
654.000,14394524391.058
655.000,14394524391.058
656.000,14394524391.058
657.000,14394524391.058
658.000,14394524391.058
659.000,14394524391.058
660.000,14394524391.058
661.000,14394524391.058
662.000,14394524391.058
663.000,14394524391.058
664.000,14394524391.058
665.000,14394524391.058
666.000,14394524391.058
667.000,14394524391.058
668.000,14394524391.058
669.000,14394524391.058
670.000,14394524391.058
671.000,14394524391.058
